用例编号,测试模块,用例标题,前置条件,测试步骤,预期结果,实际结果,优先级
TC-001,登录-正常流程,有效用户成功登录,1. 打开 SauceDemo 登录页 `https://www.saucedemo.com/`<br>2. 网络正常,1. 在用户名输入框输入 `standard_user`<br>2. 在密码输入框输入 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录成功，页面跳转至商品列表页（`/inventory.html`）<br>2. 页面标题显示 ""Products""<br>3. 无错误提示信息","与预期一致。页面跳转至 `https://www.saucedemo.com/inventory.html`，页面标题为 ""Swag Labs""，商品列表正常加载。",P0
TC-002,登录-正常流程,登录成功后页面状态检查,1. 已完成 TC-001 登录成功,1. 观察商品列表页<br>2. 点击右上角汉堡菜单,"1. 页面显示商品列表及商品图片<br>2. 菜单中包含 ""Logout"" 选项<br>3. 购物车图标可见","与预期一致。右上角菜单可展开，含 ""Logout""、""Reset App State"" 等选项；购物车图标位于右上角。",P1
TC-003,登录-异常流程,无效用户名登录,1. 打开 SauceDemo 登录页,1. 输入用户名 `invalid_user`<br>2. 输入密码 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""<br>3. 用户名和密码输入框边框变红",与预期一致。错误提示完整显示，输入框边框变为红色，出现错误图标。,P0
TC-004,登录-异常流程,无效密码登录,1. 打开 SauceDemo 登录页,1. 输入用户名 `standard_user`<br>2. 输入密码 `wrong_password`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""<br>3. 用户名和密码输入框边框变红",与预期一致。错误提示与TC-003完全一致，无法通过错误提示判断是用户名还是密码错误。,P0
TC-005,登录-异常流程,用户名和密码均为无效,1. 打开 SauceDemo 登录页,1. 输入用户名 `fake_user`<br>2. 输入密码 `fake_pass`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。,P1
TC-006,登录-异常流程,锁定用户登录,1. 打开 SauceDemo 登录页,1. 输入用户名 `locked_out_user`<br>2. 输入密码 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Sorry, this user has been locked out.""<br>3. 用户名和密码输入框边框变红并显示错误图标","与预期一致。错误提示与""不匹配""提示不同，可明确区分用户状态。",P0
TC-007,登录-边界条件,用户名为空（参数化同类场景-1）,1. 打开 SauceDemo 登录页,1. 用户名输入框留空<br>2. 输入密码 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username is required""",与预期一致。前端优先校验用户名空值，不会触发密码校验。,P0
TC-008,登录-边界条件,密码为空（参数化同类场景-2）,1. 打开 SauceDemo 登录页,1. 输入用户名 `standard_user`<br>2. 密码输入框留空<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Password is required""",与预期一致。用户名已填写，触发密码空值校验。,P0
TC-009,登录-边界条件,用户名和密码均为空（参数化同类场景-3）,1. 打开 SauceDemo 登录页,1. 用户名和密码输入框均留空<br>2. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username is required""","与预期一致。双空时只提示""Username is required""，不会叠加提示""Password is required""。",P0
TC-010,登录-边界条件,用户名包含前导和尾随空格,1. 打开 SauceDemo 登录页,1. 在用户名输入框输入 `standard_user`（前1个空格 + `standard_user` + 后1个空格）<br>2. 在密码输入框输入 `secret_sauce`<br>3. 点击【Login】按钮,"1. 登录失败，页面停留在登录页<br>2. 显示错误提示：""Epic sadface: Username and password do not match any user in this service""",与预期一致。SauceDemo 前端不会自动 trim 空格，带空格的用户名被视为无效用户。,P1
